Issue id,Summary,Status,Priority,Resolution,Description
223528,terminal chat help dialog immediately closes,,,,1. open terminal chat 2. use `alt+f1` 3. 🐛 dialog closes https://github.com/user-attachments/assets/723d1951-92f6-4b28-bc98-0e17a1931f02
223508,Endless loop for applying setting,,,completed,"Type: <b>Bug</b> 1) Create a codespace in GH.com 2) when the codespace is created open it in insiders using the status line remote menu -> I'm asked to reload the window to apply a setting ![Image](https://github.com/user-attachments/assets/6126273d-8295-4c12-a322-b17ca95785c9) 3) Press reload -> I'm asked to reload the window to apply a setting 4) Press reload -> I'm asked to reload the window to apply a setting 5) Press reload ... VS Code version: Code - Insiders 1.92.0-insider (7ed4cdc56d037146b2c4c890f09e78b2ba14b49d, 2024-07-24T07:50:18.385Z) OS version: Darwin arm64 23.5.0 Modes: Remote OS version: Linux x64 5.15.0-1057-azure Remote OS version: Linux x64 6.5.0-1022-azure <details> <summary>System Info</summary> |Item|Value| |---|---| |CPUs|Apple M3 (8 x 2400)| |GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disab"
223506,Layout issues with the issue reporter,,,completed,"Type: <b>Bug</b> 1) Open Help > Report Issue VS Code version: Code - Insiders 1.92.0-insider (7ed4cdc56d037146b2c4c890f09e78b2ba14b49d, 2024-07-24T07:50:18.385Z) OS version: Darwin arm64 23.5.0 Modes: Remote OS version: Linux x64 5.15.0-1057-azure Remote OS version: Linux x64 6.5.0-1022-azure <details> <summary>System Info</summary> |Item|Value| |---|---| |CPUs|Apple M3 (8 x 2400)| |GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disabled_off| |Load (avg)|3, 4, 4| |Memory (System)|24.00GB (0.06GB free)| |Process Argv|--enable-proposed-api lszomoru.lszomoru-proposed-api-sample --enable-proposed-api donjayamanne.kusto --crash-reporter-id ef10dfea-3602-4c74-ba1a-109ce7da7825| |Screen Reader|no| |VM|0%| |Item|Value| |---|---| |Remote|SSH: az-devbox| |OS|Linux x64 5.15.0-1057-azure| |CPUs|Intel(R) Xeon(R) Platinum 8171M CPU "
223501,"Issue Reporter: Picking ""Feature Request"" in first dropdown results in blue button being permanently labelled ""Loading data...""",,,completed,"Type: <b>Bug</b> 1. Launch Issue Reporter, e.g. from `Help: Report Issue` off Command Palette. 2. Change the first dropdown to `Feaure Request` VS Code version: Code - Insiders 1.92.0-insider (7ed4cdc56d037146b2c4c890f09e78b2ba14b49d, 2024-07-24T07:50:18.385Z) OS version: Windows_NT x64 10.0.22631 Modes: <!-- generated by issue reporter -->"
223492,SCM - history graph empty after publishing branch,,,completed,"Steps to Reproduce: 1. Open a folder/workspace that contains a git repository 2. Create a topic branch, and create multiple commits 3. Click the ""Publish Branch"" action button to publish the topic branch Expected: history graph should be updated with the label for the published branch Actual: history graph is empty"
223490,Task times out on the terminal smoke tests,,,,Smoke tests regularly fails with the error: ``` Terminal Terminal Editors ✔ should update color of the tab ✔ should rename the tab ✔ should show the panel when the terminal is moved there and close the editor ✔ should open a terminal in a new group for open to the side ✔ should open a terminal in a new group when the split button is pressed 1) should create new terminals in the active editor group via command 2) should create new terminals in the active editor group via plus button 3) should create a terminal in the editor area by default Terminal Input Auto replies 4) should automatically reply to a custom entry Terminal Persistence detach/attach 5) should support basic reconnection - should persist buffer content Terminal Profiles 6) should launch the default profile 7) should set the default profile to a contributed one 8) should use the default contributed profile on panel open and for splitting 9) should set the default profile 10) should use the default profile on panel open and for splitting 11) createWithProfile command should create a terminal with a profile 12) createWithProfile command should create a terminal with a contributed profile ##[error]The task has timed out. F
223487,SCM - incoming/outgoing separator actions rendering issue,,,completed,"Steps to Reproduce: 1. Launch VS Code Insiders 2. Select the Light (Visual Studio) theme 3. Open the ""Source Control"" viewlet 4. Click on the Incoming/Outgoing separator (actions are white) ![Image](https://github.com/user-attachments/assets/3dd9661b-e989-4f87-a41e-09a66f6c1947)"
223475,Git - history graph does not show commits for an unpublished repository,,,completed,"1. Open a folder/workspace in VS Code Insiders 2. Initialise a git repository in the folder 3. Create a file, make changes to it, and create multiple commits Expected: commits should appear in the history graph Actual: no commits are being shown in the history graph"
223455,Extension signature verification is failing with SIGSYS error code,,,,"In Linux (majorly fedora), extension signature verification is failing with SIGSYS `159` error code ``` SIGSYS ""Signal system call"" The SIGSYS signal is sent to a process when it passes a bad argument to a system call. In practice, this kind of signal is rarely encountered since applications rely on libraries (e.g. libc) to make the call for them. SIGSYS can be received by applications violating the Linux Seccomp security rules configured to restrict them. SIGSYS can also be used to emulate foreign system calls, e.g. emulate Windows system calls on Linux.[19] ``` This issue is investigate and fix this."
223432,Error: Unable to find repository for current working directory on a windows VM,,,,"Testing #223068 I'm on a windows VM on my mac, and I see this error regardless of where my integrated terminal is rooted: ![Image](https://github.com/user-attachments/assets/188d6577-4b83-40ce-a4ff-3df93c259fc7) I DO NOT see this error on non-VM windows install."
223431,Repeats breakpoint announcement twice,,,,Testing #222238 This is the same recording as in #223429 . It seems to be announcing the breakpoint twice. Not sure if this is a issue. https://github.com/user-attachments/assets/3ce59bc5-1cf9-4191-8fa4-ec92c87810d9
223430,Issue Title,,,not_planned,"<!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ --> <!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ --> <!-- 🕮 Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions --> <!-- 🔎 Search existing issues to avoid creating duplicates. --> <!-- 🧪 Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ --> <!-- 💡 Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. --> <!-- 🔧 Launch with `code --disable-extensions` to check. --> Does this issue occur when all extensions are disabled?: Yes/No <!-- 🪓 If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. --> <!-- 📣 Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. --> - VS Code Version: - OS Version: Steps to Reproduce: 1. 2. <!-- Edit the body of your new issue then click the ✓ ""Create Issue"" button in the top right of the editor. The first line will be the is"
223428,Dismiss button doesn't work,,,completed,"1. Create a new empty profile 2. Open a new window with that profile 3. Wait for the window to load 4. Open the Settings editor 5. Verify that a Copilot entry shows up under Commonly Used. If not, try reloading the window 6. Press the dismiss button 7. :bug: Entry does not dismiss I'm unable to repro this issue locally"
223420,Unsure about when to expect suggestions to automatically appear,,,completed,"Testing #223130 I notice that sometimes, I need to trigger the suggest widget manually (ctrl+space). For example, I have` git add .\.vscode\notebooks\` typed, and I need to ctrl+space to see the filenames."
223410,Inline diff line numbers broken after reload,,,completed,"Type: <b>Bug</b> 1. In a git repo 2. Make a small change in a tracked file 3. Open diff from `changes` scm view 4. Make sure inline diff is on 5. Reload window so that diff editor is also reloaded **bug** The wrong line numbers are shown. Notice how many lines `1` there are on the left gutter ![Image](https://github.com/user-attachments/assets/da856f3b-d47d-47f7-951a-5986666df4c7) VS Code version: Code - Insiders 1.92.0-insider (Universal) (22e3447b4b410dcf8426bf70743c5dd4030d6122, 2024-07-23T05:03:52.385Z) OS version: Darwin arm64 23.5.0 Modes: <details> <summary>System Info</summary> |Item|Value| |---|---| |CPUs|Apple M2 Max (12 x 2400)| |GPU Status|2d_canvas: unavailable_software<br>canvas_oop_rasterization: disabled_off<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: disabled_software<br>multiple_raster_threads: enabled_on<br>opengl: disabled_off<br>rasterization: disabled_software<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: disabled_software<br>video_encode: disabled_software<br>webgl: unavailable_software<br>webgl2: unavailable_software<br>webgpu: unavailable_software<br>webnn: disabled_off| |Load (avg)|10, 6, 5| |M"
223405,Only one changed variable gets announced by screen reader,,,,Testing #222239 1. use this script and create a launch config to launch it with node. ``` console.log('here'); let j = 0; let i =0; console.log('done'); ``` 2. Set a breakpoint on the first and last lines. Add `i` and `j` to the watch. 3. monitor the screen reading between the first and second 4. Notice that only `j=0` is announced when you go from the first to second breakpoint.
223402,Settings description should format keyboard key labels,,,completed,"Testing #223130 I know we are inconsistent, but can we put keyboard key labels in backticks ![image](https://github.com/user-attachments/assets/735e151b-c04b-4359-ab78-765e98bc6141) ![image](https://github.com/user-attachments/assets/49ed076c-1e84-468f-85e7-c96d1c20225b)"
223397,FindFiles2OptionsNew.useIgnoreFiles feedback,,,,Testing #223154 https://github.com/microsoft/vscode/blob/d4bb523d43261a3ec2c4c9ca01052faeb0a874e7/src/vscode-dts/vscode.proposed.findFiles2New.d.ts#L25-L51 Should this be named `ignoreFileOverrides` or similar instead to make it more clear that not using it is fine and will likely be what the user expects?
223395,Does FindFiles2OptionsNew.maxResults impact performance?,,,,"Testing #223154 If so, should we mention it? https://github.com/microsoft/vscode/blob/d4bb523d43261a3ec2c4c9ca01052faeb0a874e7/src/vscode-dts/vscode.proposed.findFiles2New.d.ts#L20-L23 Also, should this have a conservative default value to help developers from misusing it?"
223394,"Don't use ""we"" in apis",,,,Testing #223154 https://github.com/microsoft/vscode/blob/d4bb523d43261a3ec2c4c9ca01052faeb0a874e7/src/vscode-dts/vscode.proposed.findFiles2New.d.ts#L25-L27
223393,Errors when using proxy support on linux,,,,Testing #221327 I'm getting these errors when trying to install extensions ``` 2024-07-23 21:07:46.396 [info] Started local extension host with pid 13223. 2024-07-23 21:07:48.997 [info] [perf] Render performance baseline is 12ms 2024-07-23 21:08:03.767 [error] Failed: net::ERR_TUNNEL_CONNECTION_FAILED at Y.D (/home/roblou/Downloads/VSCode-linux-arm64/resources/app/out/vs/code/node/sharedProcess/sharedProcessMain.js:105:170102) at async Y.B (/home/roblou/Downloads/VSCode-linux-arm64/resources/app/out/vs/code/node/sharedProcess/sharedProcessMain.js:105:166893) at async Y.getExtensions (/home/roblou/Downloads/VSCode-linux-arm64/resources/app/out/vs/code/node/sharedProcess/sharedProcessMain.js:105:163417) at async F (/home/roblou/Downloads/VSCode-linux-arm64/resources/app/out/vs/code/node/sharedProcess/sharedProcessMain.js:105:71516) at async z.M (/home/roblou/Downloads/VSCode-linux-arm64/resources/app/out/vs/code/node/sharedProcess/sharedProcessMain.js:105:71995) at async /home/roblou/Downloads/VSCode-linux-arm64/resources/app/out/vs/code/node/sharedProcess/sharedProcessMain.js:105:65447 at async Promise.all (index 0) at async z.I (/home/roblou/Downloads/VSCode-linux-arm64/resources/a
223391,Retain object types in doc comments,,,,"Testing #223154 https://github.com/microsoft/vscode/blob/d4bb523d43261a3ec2c4c9ca01052faeb0a874e7/src/vscode-dts/vscode.proposed.findFiles2New.d.ts#L62-L78 <img width=""849"" alt=""Screenshot 2024-07-23 at 2 08 51 PM"" src=""https://github.com/user-attachments/assets/b4545156-7677-4435-98bc-5858c0b242d2""> When I first read this I assumed both `glob pattern` and `relative pattern` was talking about a string. If we keep the object name it makes it clear that it's talking about a type: <img width=""826"" alt=""Screenshot 2024-07-23 at 2 09 27 PM"" src=""https://github.com/user-attachments/assets/d1821c64-1e69-42ae-96a4-fe14f4eb8779"">"
223389,Settings deep-linking issues when extensions update,,,reopened,"Testing #223027 I'm not able to get this feature working on my linux host 😓 Attached a video for clarity. https://github.com/user-attachments/assets/2afdd792-de8e-4773-aff2-88d0aa9fa4ed # Repro steps _Tested on Ubuntu 24.04_ 1. Install and launch VS Code Insiders 1. Install Remote - SSH pre-release (or try with a different setting) 1. Open default browser in Ubuntu 22.04 (Firefox) 1. Paste in a deep link (eg: `vscode-insiders://settings/remote.SSH.permitPtyAllocation`) 1. I also tried following a link on a mock website, source: ```html <head><title>Title></title></head> <body> <a href=""vscode-insiders://settings/remote.SSH.permitPtyAllocation"">CLICK ME</a> </body> ``` 1. Note that VS Code launches but we aren't deep linked into settings These steps work successfully for me on my MacOS host"
223384,Enum values should start with caps,,,,Testing #223154 https://github.com/microsoft/vscode/blob/d4bb523d43261a3ec2c4c9ca01052faeb0a874e7/src/vscode-dts/vscode.proposed.findTextInFilesNew.d.ts#L112-L128
223383,Debug console sticky scroll is much larger than its content,,,,"Repro: A logged a large array when testing a proposed API and saw this: <img width=""1356"" alt=""Screenshot 2024-07-23 at 1 57 41 PM"" src=""https://github.com/user-attachments/assets/b48d4b96-567f-45aa-82fc-95c4d49082a2""> Code: ```ts const disposable = vscode.commands.registerCommand('test.helloWorld', async () => { const result = await vscode.workspace.findFiles2New([""**/*.ts""]); console.log(result); }); ```"
223382,Scrolling is not working on contents section,,,completed,"Testing #223080 1. Open the Profiles view, and choose a profile. 2. Open settings. 3. Open one extension. 4. When the width of the window is too small, the two finger gesture in Mac to scroll does not work. So i can not scroll. 🐛 <img width=""1425"" alt=""Screenshot 2024-07-23 at 1 45 53 PM"" src=""https://github.com/user-attachments/assets/eee9bee6-c77e-44cd-bb2d-1a1907d39b7f"">"
223380,Open to the side action is not working properly,,,completed,"Testing #223080 When i am creating a Profile: 1. Select a copy from: `Python` 2. In the case of Settings the default option selected is python, i click on `Open to the side Action` 3. It will open the setting for Python 4. Close the settings. 5. Change the source to default, and click again `Open to the side Action` 6. It opened again the `Python Settings` and not the `default settings`. 🐛 <img width=""1170"" alt=""Screenshot 2024-07-23 at 1 39 24 PM"" src=""https://github.com/user-attachments/assets/53ed4aaf-d67c-4849-8275-128f071aceae"">"
223379,run and debug accessibility dialog typo,,,completed,`The debug console is a REPL (Read-Eval-Print-Loop) that allows you to evaluate expressions and run commands and can be focused with<keybinding:workbench.panel.repl.view.focus.` ![Image](https://github.com/user-attachments/assets/598b4123-d42e-4d03-8e42-b7463d22f9f4)
223374,`workbench.action.terminal.sendSequence` keybinding does not trigger on linux,,,,"Testing #223130 On Linux, `workbench.action.terminalsendSequence` doesn't fire correctly on `ctrl+space` because it checks for `terminalShellType == 'pwsh'`. However, when looking at the context keys, `terminalShellType` is not set"
223373,Resizing stacktrace UI causes a line to be hidden,,,,"Testing #223148 There's only one frame in the stack trace, pull down to resize and notice how a line goes missing from the editor. Line 116 vanishes ![Image](https://github.com/user-attachments/assets/4f3947a6-51db-4d57-a57e-bc4fb1cd3896)"
223369,Add `Unassigned` to command description for clarity,,,completed,"> I noticed that the first keybinding label is `Accessibility Help Configure Keybindings`, the second is `Accessibility Help Configure Assigned Keybindings`. The first label does not mention that the keybindings are not unassigned, perhaps we could add the word `unassigned` before? _Originally posted by @aiday-mar in [#221744](https://github.com/microsoft/vscode/issues/221744#issuecomment-2245233032)_"
223368,Extension hover is often dismissed too early,,,,Testing #223090 The hover widget of the extension is often dismissed too early and making it hard to move cursor to the hover widget and click on the links. https://github.com/user-attachments/assets/89aff1b2-5c54-45c4-9ed9-3a1b4017a509 From the recording above you can see that I only get it working 1 out of 3 times.
223367,"Clicking on ""View Commit"" re opens a new editor diff view for the same commit",,,completed,Testing #223106 Have remote commits. Click on a remote commit to view the commit Use the commit menu to view the commit Expected: Focus shifts to the already opened editor Actual: New diff editor opened for the commit. ![Image](https://github.com/user-attachments/assets/497afa61-8368-49d5-b48d-890f85b573a2)
223364,Clicking on the ticked item for the remote branch in the Incoming/Outgoing header clears out the SCM view.,,,completed,Testing #223106 >Confirm that there is a ticked item for the remote branch (ex: origin/main) See repro below: ![Image](https://github.com/user-attachments/assets/c3a83468-fece-492a-b907-f96a1ccfcde6)
223360,Terminal: Sparkle cheese and variable line spacing when holding down Enter key,,,,"When pressing and holding the Enter key on a folder for a while I get mixed results regarding spacing between the prompts, with a few Copilot Sparkles sprinkled in. to repro just open a terminal and hold down the Enter key: ![Image](https://github.com/user-attachments/assets/ce6eac93-b4fb-4741-a588-b810020b49f9) Note I'm on WSL."
223358,Terminal Scrollbar: Right Click on scrollbar does paste not scroll,,,,"Testing #223132 Right clicking on the scrollbar does a paste into the terminal, as if I was in any other part of the terminal. Given the behavior of scrollbars in the editor I expected the terminal to scroll at a minimum (and a context menu might be nice)."
223356,Terminal Scroll Bar: Cursor location indicator not always visible,,,,"Testing #223132 When doing a Find in the Terminal, I see the horizontal bar which indicates where the cursor is in the terminal history/buffer. Otherwise, there is no cursor location indicator. Given how the scrollbar works in a normal editor, I expected to see the cursor location indicator regardless. Find: ![Image](https://github.com/user-attachments/assets/f848addc-a110-4941-948f-4ee0fa4544cb) without find (`code` is selected): ![Image](https://github.com/user-attachments/assets/d8e3b628-30b3-462c-b850-9f5a2196e437)"
223355,Multi-line ohmyposh themes don't work with terminal suggest,,,,"Testing #223130 I'm on windows. 1. Powershell `$PROFILE` is: ``` Import-Module -Name Terminal-Icons oh-my-posh init pwsh --config ""$env:POSH_THEMES_PATH\tokyonight_storm.omp.json"" | Invoke-Expression ``` 2. Seems that the debug only recognizes the first line of input ![Image](https://github.com/user-attachments/assets/040f90d5-bfc9-4af5-844a-461ee3fe1286)"
223352,alt+f2 doesn't show console info if debug session is done,,,,"Testing #222238 1. Make a js file at the root that console.logs something. 2. Make a launch config to run it using node like: ``` { ""name"": ""Run Test JS file 1"", ""program"": ""${workspaceFolder}/test1.js"", ""request"": ""launch"", ""skipFiles"": [ ""<node_internals>/**"" ], ""type"": ""node"" } ``` 3. Run it and see the logs persist in the debug console.] 4. Try to use alt+f2 to read it 5. 'no debug session is active' ![Image](https://github.com/user-attachments/assets/dd18e6e8-cd9c-46f4-9a78-6ddccdeab5a7)"
223350,NVDA reads REPL as 'replace',,,completed,"Testing #222238 Not sure whether this is something in your control, but I noticed that NVDA reads REPL as replace when it's reading this: ![Image](https://github.com/user-attachments/assets/79efa574-894e-44a8-b15f-e693c2eadde4) Might be a bit confusing."
223347,No support for tsx files in notebooks,,,,Testing #223152 1) paste TSX source into a cell -> there is no language support for TSX
223344,Handling of cells outside of viewport,,,,"Testing #223152 1) select two cells 2) scroll the lower cell (cell 2) out of the viewport 3) cmd+/ 4) scroll cell 2 partially into the viewport -> only cell 1 has been commented 5) cmd+/ -> cell 1 has been uncommented, cell 2 has been commented After step 3 I'd expect both cells to be commented and after step 5 both to be uncommented"
223343,Selection management,,,completed,"Testing #223152 1) set a selection within a given cell 2) ESC -> cell gets focus 3) Cmd+/ -> selection from step 1 is lost and all content of the cell is selected 4) Arrow-up or down 5) Cmd+/ -> now you have two cells with fully selected content I would expect that the selection from step 1 is retained/restored. And, if I don't have a selection after step 3, no selection would be visible."
223342,Not prompted for credentials on reload despite not having checked 'Remember my credentials',,,completed,Testing #221327 I can only retrigger the auth dialog after changing the user1 password. Is that expected?
223338,`onDidTriggerButton` description is incorrect,,,completed,Testing #223135 This description says only for the tittle bar but it also fires for inline buttons ``` /** * An event signaling when a button in the title bar was triggered. * This event does not fire for buttons on a {@link QuickPickItem}. */ readonly onDidTriggerButton: Event<QuickInputButton>; ```
223334,a11y help reports no assigned keybinding for Go to Next Commenting Range and Go to Previous Commenting Range,,,,Testing #222240 ![Image](https://github.com/user-attachments/assets/1d3fb123-6c1d-4416-99e0-e84abee19b5d) When I open the keybinding editor it seems we already have keybindings for these: ![Image](https://github.com/user-attachments/assets/d5629cfd-7c2b-4bb9-a954-7c6353a1c5a2)
223333,Inline chat a11y help text is indistinguishable from panel chat a11y help text,,,completed,"Testing #222240 Maybe a11y help is showing me stale text from the last panel chat invocation (even after I closed the panel chat view), but the help text seems to be the same when I focus an inline chat response and do Alt F1."
223332,Chat a11y help dialog mentions Chat Clear command that doesn't exist in keybinding editor,,,,Testing #222240 Should this be New Chat (Ctrl+L)?
223330,Typo in notebook a11y help dialog text,,,completed,Testing #222240 > The Insert Cell Above/Below commands will create new empty code cells should be terminated with a `.`
223329,"""Configure Keybindings"" action appears in quick pick toolbar but does nothing when clicked in a11y dialog for notebooks",,,completed,"Testing #222240 In this context when there are no unassigned keybindings, perhaps the action should be disabled or not added? ![Image](https://github.com/user-attachments/assets/77de3719-faee-41b8-843b-b32036316093)"
223318,Extension update - review extension does not always focus the changelog tab,,,completed,"Testing #223090 1. Close all opened editors 2. Open the Extensions viewlet, hover on a extension that is not auto-updated, and click on the ""review the extension"" link. This will open the extension details in the editor and will focus the ""Changelog"" tab. 3. Click on the ""Details"" tab in the extension editor 4. Click on the ""Update""button which will show a warning dialog 5. Click on the ""Review"" button * This should focus the ""Changelog"" tab but it does not"
223316,Completions do not show up after accepting part of the path to folder,,,completed,Testing #223130 - Open the folder where the `vscode` repo is located. Type `open v` - Completions should show up with `vscode` inside of the list. - Select the result `vscode` from the list. - The result `cd ./vscode/` is added into the powershell terminal - After the addition the completions list does not automatically appear to suggest the next part of the path 🐛 https://github.com/user-attachments/assets/83b7ab43-e3c2-46e6-ba8d-76c7006dd0c5
223315,"""debug.autoExpandLazyVariables"": false replaced with the default",,,completed,"Testing #222238 There does not seem to be a need to keep the setting in the JSON, it can be removed because ""auto"" (with which the value is replaced) is the new default."
223308,Wrong auto-indentation in typescript when pasting,,,,"<!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ --> <!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ --> <!-- 🕮 Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions --> <!-- 🔎 Search existing issues to avoid creating duplicates. --> <!-- 🧪 Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ --> <!-- 💡 Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. --> <!-- 🔧 Launch with `code --disable-extensions` to check. --> Does this issue occur when all extensions are disabled?: Yes <!-- 🪓 If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. --> <!-- 📣 Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. --> - VS Code Version: 1.91.1 - OS Version: Steps to Reproduce: 1. Start with this code. ```ts if (true) { // Do something. } ``` 2. Select and cut the the block. 3. Paste it back: ```ts if (true) { // D"
223305,Hover shows zero files changed even though opening the commit shows the files diff,,,completed,Testing #223106 Hover shows zero files changed even though clicking on the commit shows multiple files changes https://github.com/user-attachments/assets/c7c7ce67-0739-4be9-9b62-613712ac72f3
223304,Cannot register two commands with the same id:,,,completed,Testing #223080 ERR Cannot register two commands with the same id: workbench.action.openProfile.empty: Error: Cannot register two commands with the same id: workbench.action.openProfile.empty ![Image](https://github.com/user-attachments/assets/5172b23e-acd2-4f43-a88e-6ebf62f52cec) (used the split editor command)
223299,"""Create"" becomes ""Replace"" only after changing name and back.",,,completed,"Testing #223080 ""Create"" becomes ""Replace"" only after changing name and back. ![Image](https://github.com/user-attachments/assets/83d9c500-14be-4c50-952f-965515969d4f)"
