case_id,input_format,title,description,log_text,severity,priority,component,exception_type,predicted_severity,predicted_priority,predicted_component,predicted_exception,severity_correct,priority_correct,component_correct,exception_correct,triage_confidence,log_confidence,execution_time_seconds,false_positive,false_negative
EVAL-01-11,structured_record,Button spacing (Chrome),UI bug: button spacing and color are inconsistent. Environment: Chrome.,CSS warning only,Low,P3,UI,,Low,P3,UI,,True,True,True,True,91,61,0.003954,False,False
EVAL-01-12,structured_record,Label typo (Chrome),Typo in the frontend settings screen label. Environment: Chrome.,No runtime exception,Low,P3,Frontend,,Low,P3,Frontend,,True,True,True,True,79,61,0.003468,False,False
EVAL-02-01,plain_text,Production payment failure (Firefox),Production payment failure affects all users during checkout. Environment: Firefox.,"TypeError: cannot read property amount
    at charge (/srv/payment.js:31:9)",Critical,P0,Payment,TypeError,Critical,P0,Payment,TypeError,True,True,True,True,79,90,0.006898,False,False
EVAL-02-02,plain_text,Authentication outage (Firefox),Production outage: all users cannot login because token validation fails. Environment: Firefox.,"Traceback (most recent call last):
  File ""/app/auth.py"", line 8, in login
    user.id
AttributeError: missing user",Critical,P0,Authentication,AttributeError,Critical,P0,Authentication,AttributeError,True,True,True,True,85,90,0.007069,False,False
EVAL-02-03,plain_text,Data corruption (Firefox),Data corruption and data loss reported in production database. Environment: Firefox.,"java.sql.SQLException: transaction aborted
	at com.acme.db.Store.save(Store.java:72)",Critical,P0,Database,SQLException,Critical,P0,Database,SQLException,True,True,True,True,85,90,0.010958,False,False
EVAL-02-04,plain_text,Security breach (Firefox),Security vulnerability permits unauthorized access and potential breach. Environment: Firefox.,SecurityError: access policy bypass detected,Critical,P0,Security,SecurityError,Critical,P0,Security,SecurityError,True,True,True,True,85,72,0.008786,False,False
EVAL-02-05,plain_text,Application crash (Firefox),Application crash occurs when backend worker starts. Environment: Firefox.,"Traceback (most recent call last):
  File ""/app/worker.py"", line 20, in start
    run()
RuntimeError: worker failed",Critical,P1,Backend,RuntimeError,Critical,P1,Backend,RuntimeError,True,True,True,True,79,90,0.007715,False,False
EVAL-02-06,plain_text,API unavailable (Firefox),Repeated API failure and service unavailable blocks users from completing workflow. Environment: Firefox.,"java.io.IOException: upstream unavailable
	at com.acme.api.Client.call(Client.java:44)",High,P1,REST API,IOException,High,P1,REST API,IOException,True,True,True,True,85,90,0.008664,False,False
EVAL-02-07,plain_text,Database unavailable (Firefox),Database unavailable because the SQL connection pool is exhausted. Environment: Firefox.,"java.sql.SQLException: connection refused
	at com.acme.db.Pool.open(Pool.java:19)",High,P1,Database,SQLException,High,P1,Database,SQLException,True,True,True,True,91,90,0.007349,False,False
EVAL-02-08,plain_text,Slow search (Firefox),Significant performance degradation makes search unusable. Environment: Firefox.,TimeoutError: search exceeded deadline,High,P1,Performance,TimeoutError,High,P1,Performance,TimeoutError,True,True,True,True,85,72,0.007395,False,False
EVAL-02-09,plain_text,Validation problem (Firefox),Backend service validation issue causes the form to be partially working. Environment: Firefox.,"Traceback (most recent call last):
  File ""/app/forms.py"", line 14, in validate
    int(value)
ValueError: invalid literal",Medium,P2,Backend,ValueError,Medium,P2,Backend,ValueError,True,True,True,True,85,90,0.007541,False,False
EVAL-02-10,plain_text,Intermittent notification (Firefox),Occasional notification email failures affect some users. Environment: Firefox.,"Error: smtp rejected message
    at send (/srv/notification.js:12:4)",Medium,P2,Notifications,Error,Medium,P2,Notifications,Error,True,True,True,True,85,90,0.007068,False,False
EVAL-02-11,plain_text,Button spacing (Firefox),UI bug: button spacing and color are inconsistent. Environment: Firefox.,CSS warning only,Low,P3,UI,,Low,P3,UI,,True,True,True,True,91,61,0.007143,False,False
EVAL-02-12,plain_text,Label typo (Firefox),Typo in the frontend settings screen label. Environment: Firefox.,No runtime exception,Low,P3,Frontend,,Low,P3,Frontend,,True,True,True,True,79,61,0.006656,False,False
EVAL-03-01,uploaded_log_record,Production payment failure (Windows),Production payment failure affects all users during checkout. Environment: Windows.,"TypeError: cannot read property amount
    at charge (/srv/payment.js:31:9)",Critical,P0,Payment,TypeError,Critical,P0,Payment,TypeError,True,True,True,True,79,90,0.007822,False,False
EVAL-03-02,uploaded_log_record,Authentication outage (Windows),Production outage: all users cannot login because token validation fails. Environment: Windows.,"Traceback (most recent call last):
  File ""/app/auth.py"", line 8, in login
    user.id
AttributeError: missing user",Critical,P0,Authentication,AttributeError,Critical,P0,Authentication,AttributeError,True,True,True,True,85,90,0.008244,False,False
EVAL-03-03,uploaded_log_record,Data corruption (Windows),Data corruption and data loss reported in production database. Environment: Windows.,"java.sql.SQLException: transaction aborted
	at com.acme.db.Store.save(Store.java:72)",Critical,P0,Database,SQLException,Critical,P0,Database,SQLException,True,True,True,True,85,90,0.00725,False,False
EVAL-03-04,uploaded_log_record,Security breach (Windows),Security vulnerability permits unauthorized access and potential breach. Environment: Windows.,SecurityError: access policy bypass detected,Critical,P0,Security,SecurityError,Critical,P0,Security,SecurityError,True,True,True,True,85,72,0.005727,False,False
EVAL-03-05,uploaded_log_record,Application crash (Windows),Application crash occurs when backend worker starts. Environment: Windows.,"Traceback (most recent call last):
  File ""/app/worker.py"", line 20, in start
    run()
RuntimeError: worker failed",Critical,P1,Backend,RuntimeError,Critical,P1,Backend,RuntimeError,True,True,True,True,79,90,0.009078,False,False
EVAL-03-06,uploaded_log_record,API unavailable (Windows),Repeated API failure and service unavailable blocks users from completing workflow. Environment: Windows.,"java.io.IOException: upstream unavailable
	at com.acme.api.Client.call(Client.java:44)",High,P1,REST API,IOException,High,P1,REST API,IOException,True,True,True,True,85,90,0.008019,False,False
EVAL-03-07,uploaded_log_record,Database unavailable (Windows),Database unavailable because the SQL connection pool is exhausted. Environment: Windows.,"java.sql.SQLException: connection refused
	at com.acme.db.Pool.open(Pool.java:19)",High,P1,Database,SQLException,High,P1,Database,SQLException,True,True,True,True,91,90,0.005857,False,False
EVAL-03-08,uploaded_log_record,Slow search (Windows),Significant performance degradation makes search unusable. Environment: Windows.,TimeoutError: search exceeded deadline,High,P1,Performance,TimeoutError,High,P1,Performance,TimeoutError,True,True,True,True,85,72,0.004845,False,False
EVAL-03-09,uploaded_log_record,Validation problem (Windows),Backend service validation issue causes the form to be partially working. Environment: Windows.,"Traceback (most recent call last):
  File ""/app/forms.py"", line 14, in validate
    int(value)
ValueError: invalid literal",Medium,P2,Backend,ValueError,Medium,P2,Backend,ValueError,True,True,True,True,85,90,0.00825,False,False
EVAL-03-10,uploaded_log_record,Intermittent notification (Windows),Occasional notification email failures affect some users. Environment: Windows.,"Error: smtp rejected message
    at send (/srv/notification.js:12:4)",Medium,P2,Notifications,Error,Medium,P2,Notifications,Error,True,True,True,True,85,90,0.005509,False,False
EVAL-03-11,uploaded_log_record,Button spacing (Windows),UI bug: button spacing and color are inconsistent. Environment: Windows.,CSS warning only,Low,P3,UI,,Low,P3,UI,,True,True,True,True,91,61,0.003457,False,False
EVAL-03-12,uploaded_log_record,Label typo (Windows),Typo in the frontend settings screen label. Environment: Windows.,No runtime exception,Low,P3,Frontend,,Low,P3,Frontend,,True,True,True,True,79,61,0.004041,False,False
EVAL-04-01,minimal_record,Production payment failure (Linux),Production payment failure affects all users during checkout. Environment: Linux.,"TypeError: cannot read property amount
    at charge (/srv/payment.js:31:9)",Critical,P0,Payment,TypeError,Critical,P0,Payment,TypeError,True,True,True,True,79,90,0.005083,False,False
EVAL-04-02,minimal_record,Authentication outage (Linux),Production outage: all users cannot login because token validation fails. Environment: Linux.,"Traceback (most recent call last):
  File ""/app/auth.py"", line 8, in login
    user.id
AttributeError: missing user",Critical,P0,Authentication,AttributeError,Critical,P0,Authentication,AttributeError,True,True,True,True,85,90,0.006598,False,False
EVAL-04-03,minimal_record,Data corruption (Linux),Data corruption and data loss reported in production database. Environment: Linux.,"java.sql.SQLException: transaction aborted
	at com.acme.db.Store.save(Store.java:72)",Critical,P0,Database,SQLException,Critical,P0,Database,SQLException,True,True,True,True,85,90,0.005073,False,False
EVAL-04-04,minimal_record,Security breach (Linux),Security vulnerability permits unauthorized access and potential breach. Environment: Linux.,SecurityError: access policy bypass detected,Critical,P0,Security,SecurityError,Critical,P0,Security,SecurityError,True,True,True,True,85,72,0.004427,False,False
EVAL-04-05,minimal_record,Application crash (Linux),Application crash occurs when backend worker starts. Environment: Linux.,"Traceback (most recent call last):
  File ""/app/worker.py"", line 20, in start
    run()
RuntimeError: worker failed",Critical,P1,Backend,RuntimeError,Critical,P1,Backend,RuntimeError,True,True,True,True,79,90,0.006579,False,False
EVAL-04-06,minimal_record,API unavailable (Linux),Repeated API failure and service unavailable blocks users from completing workflow. Environment: Linux.,"java.io.IOException: upstream unavailable
	at com.acme.api.Client.call(Client.java:44)",High,P1,REST API,IOException,High,P1,REST API,IOException,True,True,True,True,85,90,0.005451,False,False
EVAL-04-07,minimal_record,Database unavailable (Linux),Database unavailable because the SQL connection pool is exhausted. Environment: Linux.,"java.sql.SQLException: connection refused
	at com.acme.db.Pool.open(Pool.java:19)",High,P1,Database,SQLException,High,P1,Database,SQLException,True,True,True,True,91,90,0.005498,False,False
EVAL-04-08,minimal_record,Slow search (Linux),Significant performance degradation makes search unusable. Environment: Linux.,TimeoutError: search exceeded deadline,High,P1,Performance,TimeoutError,High,P1,Performance,TimeoutError,True,True,True,True,85,72,0.006286,False,False
EVAL-04-09,minimal_record,Validation problem (Linux),Backend service validation issue causes the form to be partially working. Environment: Linux.,"Traceback (most recent call last):
  File ""/app/forms.py"", line 14, in validate
    int(value)
ValueError: invalid literal",Medium,P2,Backend,ValueError,Medium,P2,Backend,ValueError,True,True,True,True,85,90,0.009076,False,False
EVAL-04-10,minimal_record,Intermittent notification (Linux),Occasional notification email failures affect some users. Environment: Linux.,"Error: smtp rejected message
    at send (/srv/notification.js:12:4)",Medium,P2,Notifications,Error,Medium,P2,Notifications,Error,True,True,True,True,85,90,0.004846,False,False
EVAL-04-11,minimal_record,Button spacing (Linux),UI bug: button spacing and color are inconsistent. Environment: Linux.,CSS warning only,Low,P3,UI,,Low,P3,UI,,True,True,True,True,91,61,0.003846,False,False
EVAL-04-12,minimal_record,Label typo (Linux),Typo in the frontend settings screen label. Environment: Linux.,No runtime exception,Low,P3,Frontend,,Low,P3,Frontend,,True,True,True,True,79,61,0.003663,False,False
EVAL-05-01,full_form_record,Production payment failure (Kubernetes),Production payment failure affects all users during checkout. Environment: Kubernetes.,"TypeError: cannot read property amount
    at charge (/srv/payment.js:31:9)",Critical,P0,Payment,TypeError,Critical,P0,Payment,TypeError,True,True,True,True,79,90,0.007253,False,False
EVAL-05-02,full_form_record,Authentication outage (Kubernetes),Production outage: all users cannot login because token validation fails. Environment: Kubernetes.,"Traceback (most recent call last):
  File ""/app/auth.py"", line 8, in login
    user.id
AttributeError: missing user",Critical,P0,Authentication,AttributeError,Critical,P0,Authentication,AttributeError,True,True,True,True,85,90,0.01001,False,False
EVAL-05-03,full_form_record,Data corruption (Kubernetes),Data corruption and data loss reported in production database. Environment: Kubernetes.,"java.sql.SQLException: transaction aborted
	at com.acme.db.Store.save(Store.java:72)",Critical,P0,Database,SQLException,Critical,P0,Database,SQLException,True,True,True,True,85,90,0.008509,False,False
EVAL-05-04,full_form_record,Security breach (Kubernetes),Security vulnerability permits unauthorized access and potential breach. Environment: Kubernetes.,SecurityError: access policy bypass detected,Critical,P0,Security,SecurityError,Critical,P0,Security,SecurityError,True,True,True,True,85,72,0.007204,False,False
EVAL-05-05,full_form_record,Application crash (Kubernetes),Application crash occurs when backend worker starts. Environment: Kubernetes.,"Traceback (most recent call last):
  File ""/app/worker.py"", line 20, in start
    run()
RuntimeError: worker failed",Critical,P1,Backend,RuntimeError,Critical,P1,Backend,RuntimeError,True,True,True,True,79,90,0.012542,False,False
EVAL-05-06,full_form_record,API unavailable (Kubernetes),Repeated API failure and service unavailable blocks users from completing workflow. Environment: Kubernetes.,"java.io.IOException: upstream unavailable
	at com.acme.api.Client.call(Client.java:44)",High,P1,REST API,IOException,High,P1,REST API,IOException,True,True,True,True,85,90,0.011217,False,False
EVAL-05-07,full_form_record,Database unavailable (Kubernetes),Database unavailable because the SQL connection pool is exhausted. Environment: Kubernetes.,"java.sql.SQLException: connection refused
	at com.acme.db.Pool.open(Pool.java:19)",High,P1,Database,SQLException,High,P1,Database,SQLException,True,True,True,True,91,90,0.008999,False,False
EVAL-05-08,full_form_record,Slow search (Kubernetes),Significant performance degradation makes search unusable. Environment: Kubernetes.,TimeoutError: search exceeded deadline,High,P1,Performance,TimeoutError,High,P1,Performance,TimeoutError,True,True,True,True,85,72,0.007105,False,False
EVAL-05-09,full_form_record,Validation problem (Kubernetes),Backend service validation issue causes the form to be partially working. Environment: Kubernetes.,"Traceback (most recent call last):
  File ""/app/forms.py"", line 14, in validate
    int(value)
ValueError: invalid literal",Medium,P2,Backend,ValueError,Medium,P2,Backend,ValueError,True,True,True,True,85,90,0.012862,False,False
EVAL-05-10,full_form_record,Intermittent notification (Kubernetes),Occasional notification email failures affect some users. Environment: Kubernetes.,"Error: smtp rejected message
    at send (/srv/notification.js:12:4)",Medium,P2,Notifications,Error,Medium,P2,Notifications,Error,True,True,True,True,85,90,0.009532,False,False
EVAL-05-11,full_form_record,Button spacing (Kubernetes),UI bug: button spacing and color are inconsistent. Environment: Kubernetes.,CSS warning only,Low,P3,UI,,Low,P3,UI,,True,True,True,True,91,61,0.005815,False,False
EVAL-05-12,full_form_record,Label typo (Kubernetes),Typo in the frontend settings screen label. Environment: Kubernetes.,No runtime exception,Low,P3,Frontend,,Low,P3,Frontend,,True,True,True,True,79,61,0.007851,False,False
